Sistem,Titik Gangguan (%),ZL1,L1,L2,CT,PT,Zone 1,Zone2,Zone 3,Zone 4
TGK,30,2.89,13.76,23.94,630,1363.63,4.409,10.306,18.121,0.087
TGK,35,2.89,13.76,23.94,630,1363.63,5.144,12.024,21.141,0.101
TGK,40,2.89,13.76,23.94,630,1363.63,5.879,13.742,24.162,0.116
TGK,45,2.89,13.76,23.94,630,1363.63,6.614,15.459,27.182,0.13
TGK,50,2.89,13.76,23.94,630,1363.63,7.349,17.177,30.202,0.145
TGK,55,2.89,13.76,23.94,630,1363.63,8.084,18.895,33.222,0.159
TGK,60,2.89,13.76,23.94,630,1363.63,8.819,20.613,36.242,0.173
TGK,65,2.89,13.76,23.94,630,1363.63,9.554,22.33,39.262,0.188
TGK,70,2.89,13.76,23.94,630,1363.63,10.288,24.048,42.283,0.202
TGK,75,2.89,13.76,23.94,630,1363.63,11.023,25.766,45.303,0.217
TGK,80,2.89,13.76,23.94,630,1363.63,11.758,27.483,48.323,0.231
TGK,85,2.89,13.76,23.94,630,1363.63,12.493,29.201,51.343,0.246
TGK,90,2.89,13.76,23.94,630,1363.63,13.228,30.919,54.363,0.26
TGK,95,2.89,13.76,23.94,630,1363.63,13.963,32.637,57.384,0.275
TGK,100,2.89,13.76,23.94,630,1363.63,14.698,34.354,60.404,0.289
PPD,5,17.47,61.47,17.4,4000,1363.63,126.003,179.795,242.504,0.087
PPD,10,17.47,61.47,17.4,4000,1363.63,252.005,359.59,485.009,0.175
PPD,15,17.47,61.47,17.4,4000,1363.63,378.008,539.385,727.513,0.262
PPD,20,17.47,61.47,17.4,4000,1363.63,504.01,719.18,970.017,0.349
PPD,25,17.47,61.47,17.4,4000,1363.63,630.013,898.975,1212.521,0.437
PPD,30,17.47,61.47,17.4,4000,1363.63,756.016,1078.771,1455.026,0.524
PPD,35,17.47,61.47,17.4,4000,1363.63,882.018,1258.566,1697.53,0.611
PPD,40,17.47,61.47,17.4,4000,1363.63,1008.021,1438.361,1940.034,0.699
PPD,45,17.47,61.47,17.4,4000,1363.63,1134.024,1618.156,2182.539,0.786
PPD,50,17.47,61.47,17.4,4000,1363.63,1260.026,1797.951,2425.043,0.874
PPD,55,17.47,61.47,17.4,4000,1363.63,1386.029,1977.746,2667.547,0.961
PPD,60,17.47,61.47,17.4,4000,1363.63,1512.031,2157.541,2910.052,1.048
PPD,65,17.47,61.47,17.4,4000,1363.63,1638.034,2337.336,3152.556,1.136
PPD,70,17.47,61.47,17.4,4000,1363.63,1764.037,2517.131,3395.06,1.223
PPD,75,17.47,61.47,17.4,4000,1363.63,1890.039,2696.926,3637.564,1.31
PPD,80,17.47,61.47,17.4,4000,1363.63,2016.042,2876.721,3880.069,1.398
PPD,85,17.47,61.47,17.4,4000,1363.63,2142.044,3056.517,4122.573,1.485
PPD,90,17.47,61.47,17.4,4000,1363.63,2268.047,3236.312,4365.077,1.572
PPD,95,17.47,61.47,17.4,4000,1363.63,2394.05,3416.107,4607.582,1.66
PPD,100,17.47,61.47,17.4,4000,1363.63,2520.052,3595.902,4850.086,1.747
BNM,5,5.47,19.91,68.63,1600,1400,4.979,16.949,33.21,0.027
BNM,10,5.47,19.91,68.63,1600,1400,9.957,33.898,66.42,0.055
BNM,15,5.47,19.91,68.63,1600,1400,14.936,50.848,99.63,0.082
BNM,20,5.47,19.91,68.63,1600,1400,19.915,67.797,132.84,0.109
BNM,25,5.47,19.91,68.63,1600,1400,24.893,84.746,166.05,0.137
BNM,30,5.47,19.91,68.63,1600,1400,29.872,101.695,199.261,0.164
BNM,35,5.47,19.91,68.63,1600,1400,34.85,118.644,232.471,0.191
BNM,40,5.47,19.91,68.63,1600,1400,39.829,135.593,265.681,0.219
BNM,45,5.47,19.91,68.63,1600,1400,44.808,152.543,298.891,0.246
BNM,50,5.47,19.91,68.63,1600,1400,49.786,169.492,332.101,0.274
BNM,55,5.47,19.91,68.63,1600,1400,54.765,186.441,365.311,0.301
BNM,60,5.47,19.91,68.63,1600,1400,59.744,203.39,398.521,0.328
BNM,65,5.47,19.91,68.63,1600,1400,64.722,220.339,431.731,0.356
BNM,70,5.47,19.91,68.63,1600,1400,69.701,237.289,464.941,0.383
